# GEN: 	 LUNGHEZZA DEL MIGLIORE: 	 LUNGHEZZA MEDIA:
1	471.174	505.464
2	445.132	488.451
3	429.123	474.457
4	417.34	461.422
5	401.785	448.541
6	401.785	436.403
7	391.804	426.094
8	378.066	416.338
9	361.569	404.704
10	349.147	391.996
11	343.714	378.297
12	338.912	366.081
13	326.441	356.672
14	324.271	348.77
15	317.354	342.101
16	315.332	336.033
17	310.568	330.669
18	303.395	325.815
19	299.498	322.033
20	296.519	317.543
21	292.057	311.547
22	286.261	306.243
23	283.604	300.745
24	281.234	296.361
25	274.673	293.047
26	265.081	289.314
27	254.69	284.163
28	254.69	277.622
29	249.863	270.21
30	249.863	264.04
31	246.612	258.536
32	240.556	255.241
33	240.223	252.016
34	238.308	249.588
35	238.089	246.29
36	236.825	244.083
37	233.862	241.681
38	230.475	239.639
39	229.259	237.227
40	227.357	235.185
41	225.972	233.276
42	223.512	230.931
43	220.394	229.248
44	217.654	227.117
45	216.035	224.55
46	216.035	222.181
47	214.555	220.414
48	213.792	219.094
49	212.11	217.584
50	211.465	216.558
51	210.938	215.292
52	207.142	213.915
53	205.293	212.651
54	205.061	211.282
55	200.434	209.822
56	201.376	208.04
57	199.327	206.765
58	197.504	205.487
59	197.504	203.562
60	195.122	202.106
61	192.881	200.619
62	192.078	198.916
63	189.127	197.532
64	187.349	195.581
65	185.709	194.003
66	186.626	191.755
67	185.863	189.851
68	184.787	188.642
69	184.007	187.748
70	182.4	186.427
71	181.502	184.962
72	179.808	183.47
73	178.651	182.573
74	176.58	181.661
75	172.304	180.756
76	171.405	180.072
77	168.917	179.068
78	168.917	176.962
79	168.917	174.881
80	166.144	172.816
81	166.285	170.91
82	164.98	169.712
83	164.675	169.319
84	164.108	168.473
85	163.388	167.543
86	161.373	166.318
87	160.794	165.136
88	158.961	163.593
89	158.076	162.84
90	158.076	161.942
91	157.695	161.193
92	156.922	160.838
93	154.028	160.18
94	153.633	159.241
95	153.088	157.547
96	153.055	156.097
97	152.694	154.713
98	152.116	154.073
99	151.17	153.422
100	150.592	152.71
101	149.56	152.263
102	148.252	151.656
103	148.252	151.1
104	145.556	150.868
105	145.078	150.277
106	144.182	149.138
107	143.46	147.664
108	143.46	145.862
109	143.46	144.787
110	142.576	144.182
111	142.355	143.706
112	142.115	143.274
113	140.907	142.967
114	140.907	142.581
115	140.907	142.032
116	140.245	141.699
117	139.14	141.525
118	139.709	141.775
119	139.58	141.855
120	138.294	141.516
121	138.294	141.992
122	136.709	142.255
123	135.311	141.227
124	135.311	140.132
125	133.29	139.354
126	133.29	137.669
127	133.29	136.539
128	133.29	135.139
129	132.862	134.164
130	132.862	133.652
131	131.914	133.217
132	131.249	132.886
133	130.481	132.469
134	129.376	131.986
135	129.218	131.396
136	124.785	130.543
137	124.361	129.573
138	124.093	128.121
139	124.066	126.593
140	123.586	125.373
141	123.021	124.752
142	122.826	124.421
143	121.664	124.105
144	121.637	123.918
145	120.639	123.54
146	120.612	123.141
147	119.16	122.281
148	119.16	121.675
149	118.93	121.121
150	118.867	120.631
151	118.473	119.892
152	118.531	119.49
153	118.152	119.279
154	118.007	119.27
155	116.637	119.172
156	115.955	119.061
157	115.893	118.682
158	115.466	117.823
159	115.023	117.573
160	114.95	117.154
161	114.95	116.454
162	114.506	116.141
163	113.98	116.003
164	113.187	115.626
165	113.187	115.163
166	113.017	114.751
167	112.709	114.086
168	110.847	113.507
169	110.368	113.009
170	109.867	112.498
171	109.867	111.978
172	109.845	111.321
173	108.671	110.518
174	108.402	110.024
175	108.671	109.484
176	108.081	109.048
177	107.804	108.814
178	107.804	108.689
179	107.804	108.532
180	107.446	108.453
181	106.238	108.341
182	106.238	108.031
183	106.238	107.997
184	106.238	108.136
185	106.238	108.617
186	105.662	108.322
187	105.173	108.127
188	105.173	107.923
189	105.173	107.995
190	105.173	107.456
191	105.173	106.484
192	104.871	106.494
193	104.871	106.22
194	104.871	106.214
195	104.871	105.594
196	104.871	105.436
197	104.209	105.093
198	104.187	104.872
199	103.907	104.592
200	103.907	104.525
201	103.885	104.696
202	100.616	105.304
203	100.616	106.53
204	100.616	107.688
205	100.616	109.5
206	100.616	110.279
207	100.616	111.896
208	99.8924	111.67
209	100.616	109.896
210	100.616	107.946
211	100.616	106.626
212	100.616	104.603
213	100.032	103.383
214	100.032	102.19
215	99.0949	101.895
216	99.0949	100.701
217	98.7432	100.378
218	98.258	99.8494
219	97.891	99.6184
220	97.891	99.0326
221	97.4878	98.5898
222	97.1654	98.2052
223	97.1654	97.9657
224	96.7469	97.6409
225	97.1325	97.3886
226	97.1325	97.2331
227	97.0821	97.1941
228	97.0892	97.1504
229	96.6927	97.1306
230	96.6598	97.0983
231	96.408	97.0286
232	96.0678	96.884
233	96.0349	96.7082
234	95.702	96.4459
235	95.669	96.2402
236	95.4622	96.0459
237	95.4622	95.8632
238	94.9335	95.7201
239	94.9335	95.6009
240	94.9335	95.7132
241	94.9335	96.27
242	94.9335	95.6937
243	94.0824	95.4094
244	94.0824	95.4689
245	94.0824	95.1604
246	93.6013	94.9851
247	92.503	95.084
248	92.2961	94.5765
249	91.0368	94.3376
250	91.0368	93.4681
251	91.0368	92.6605
252	91.0368	91.862
253	91.0368	91.474
254	90.8784	91.2073
255	90.8784	91.0407
256	90.3004	90.9742
257	89.7663	90.8576
258	89.7663	90.6084
259	89.66	90.3464
260	89.0882	90.0908
261	88.721	89.8061
262	87.9296	89.4874
263	87.6673	89.1108
264	87.6673	88.6408
265	87.604	88.1638
266	87.4767	87.8964
267	87.1045	87.7152
268	87.1045	87.6359
269	87.1045	87.5568
270	87.0472	87.395
271	87.0472	87.2586
272	87.0472	87.1633
273	87.0472	87.1088
274	86.1954	87.0325
275	86.1703	86.9341
276	86.1703	86.8735
277	86.14	86.7458
278	85.8482	86.7912
279	85.8482	86.485
280	85.8179	86.1587
281	85.7772	85.9725
282	85.8482	85.9555
283	85.8482	85.8501
284	85.5883	85.8477
285	85.5883	85.8374
286	85.5883	85.7913
287	85.113	85.7031
288	85.113	85.599
289	85.113	85.4562
290	85.113	85.3281
291	85.113	85.237
292	85.113	85.1689
293	85.113	85.113
294	85.113	85.113
295	85.113	85.113
296	85.113	85.113
297	84.8511	85.1051
298	84.8511	85.0842
299	84.8511	85.036
300	84.8511	85.0211
301	84.8511	84.9522
302	79.8491	84.922
303	79.8491	84.9433
304	79.8491	84.928
305	79.8491	83.8796
306	79.8491	82.4958
307	79.8491	81.7313
308	79.777	80.4543
309	79.1441	79.9169
310	79.1441	79.7891
311	79.1441	79.6603
312	79.1441	79.4342
313	79.1441	79.2613
314	79.1441	79.1457
315	79.1441	79.1441
316	79.1441	79.1441
317	79.1441	79.1441
318	79.1441	79.1441
319	79.1441	79.1441
320	79.1441	79.1441
321	79.1441	79.1441
322	79.1441	79.1441
323	78.7112	79.1251
324	78.7112	79.0697
325	78.7112	78.9596
326	78.7112	78.8417
327	78.6658	78.749
328	78.6658	78.7097
329	78.5667	78.6954
330	78.3594	78.6719
331	78.3594	78.624
332	78.3594	78.5354
333	78.3594	78.4475
334	78.3594	78.3857
335	78.3594	78.3596
336	78.3594	78.3594
337	78.3594	78.3594
338	78.3594	78.3594
339	78.3594	78.3598
340	78.3594	78.3594
341	78.3594	78.3594
342	78.3594	78.3594
343	78.3594	78.3594
344	78.3594	78.3594
345	78.3594	78.3594
346	78.3594	78.3594
347	78.3594	78.3594
348	78.3594	78.3594
349	78.3594	78.3594
350	78.3594	78.3594
351	78.3594	78.3594
352	78.3594	78.3594
353	78.3594	78.3594
354	78.3594	78.3594
355	78.3594	78.3594
356	78.3594	78.3594
357	78.3594	78.3594
358	78.3594	78.3594
359	78.1413	78.8389
360	78.1413	79.5354
361	78.1413	81.6192
362	78.1413	83.0782
363	78.1413	83.523
364	78.1413	83.7002
365	78.1413	84.2365
366	78.1413	83.156
367	78.1413	81.4103
368	78.1413	80.5432
369	78.1413	79.2755
370	78.1413	78.4439
371	78.1413	78.3135
372	78.1413	78.1413
373	78.1413	78.1413
374	77.8135	78.125
375	77.8135	78.0646
376	77.8135	77.9787
377	77.1184	77.8677
378	77.1184	77.7317
379	77.1184	77.5732
380	77.1184	77.3995
381	77.1184	77.2582
382	77.1184	77.1571
383	77.1184	77.1444
384	77.029	77.1182
385	77.029	77.1143
386	76.8576	77.1009
387	76.8576	77.0684
388	76.8576	77.0159
389	76.8576	76.9436
390	76.8576	76.902
391	76.8576	76.8668
392	76.8576	76.8576
393	76.3517	76.8566
394	76.3517	76.8333
395	76.3517	76.7416
396	76.3517	76.5969
397	76.3517	76.454
398	76.3517	76.3517
399	75.8025	76.3228
400	75.4064	76.1998
401	75.4064	76.0203
402	73.3805	75.8188
403	73.3805	76.2315
404	73.3805	78.2125
405	73.3805	80.0144
406	73.3805	81.5598
407	73.3805	81.9504
408	73.3805	81.4255
409	73.3805	81.0149
410	73.3805	79.4338
411	73.3805	77.2429
412	73.3805	76.5276
413	73.3805	75.9719
414	73.3805	74.3763
415	73.3805	73.6089
416	73.0613	73.537
417	73.0613	73.3942
418	73.0613	73.3269
419	73.0613	73.2528
420	73.0613	73.1749
421	73.0613	73.0912
422	73.0613	73.0613
423	73.0613	73.0613
424	73.0613	73.0613
425	73.0613	73.0613
426	73.0613	73.0613
427	73.0613	73.0613
428	72.5468	73.0603
429	72.5468	73.0356
430	72.5468	72.9419
431	72.5468	72.8115
432	72.1095	72.6627
433	72.1095	72.5489
434	72.1095	72.5042
435	72.1095	72.413
436	72.1095	72.3185
437	72.1095	72.1694
438	72.1095	72.1095
439	72.1095	72.1095
440	72.1095	72.1095
441	72.1095	72.1095
442	72.1095	72.1095
443	72.1095	72.1095
444	72.1095	72.1095
445	72.1095	72.1095
446	72.1095	72.1095
447	72.1095	72.1095
448	72.1095	72.1095
449	72.1095	72.1095
450	72.1095	72.1095
451	72.1095	72.1095
452	72.1095	72.1095
453	72.1095	72.1095
454	72.1095	72.1095
455	72.1095	72.1095
456	72.1095	72.1095
457	72.1095	72.1095
458	72.1095	72.1095
459	72.1095	72.1095
460	72.1095	72.1095
461	71.9173	72.0976
462	71.9173	72.0637
463	71.9173	72.0107
464	71.9173	71.9546
465	71.9173	71.9234
466	71.9173	71.9173
467	71.9173	71.9173
468	71.9173	71.9173
469	71.9173	71.9173
470	71.9173	71.9173
471	71.9173	71.9173
472	71.9173	71.9173
473	71.9173	71.9173
474	71.9173	71.9173
475	71.9173	71.9173
476	71.9173	71.9173
477	71.9173	71.9173
478	71.9173	71.9173
479	71.7271	71.9093
480	71.7271	71.8757
481	71.7009	71.8228
482	71.6668	71.7763
483	71.6406	71.7273
484	71.6406	71.7015
485	71.6406	71.679
486	71.6406	71.6588
487	71.6406	71.6446
488	71.6406	71.6406
489	71.6406	71.6406
490	71.6406	71.6406
491	71.6406	71.6406
492	71.6406	71.6406
493	71.6406	71.6406
494	71.6406	71.6406
495	71.6406	71.6406
496	71.6406	71.6406
497	71.6406	71.6406
498	71.6406	71.6406
499	71.6406	71.6406
500	71.6406	71.6406
501	71.6406	71.6406
502	69.8867	71.4778
503	69.8867	71.2532
504	69.8867	70.998
505	69.8867	70.6918
506	69.8867	70.3167
507	69.8867	69.9354
508	69.8867	69.8867
509	69.8867	69.8867
510	69.8867	69.8867
511	69.8867	69.8867
512	69.8867	69.8867
513	69.693	69.8809
514	69.5032	69.8554
515	69.5032	69.8109
516	69.5032	69.7643
517	69.5032	69.7536
518	69.5032	69.6072
519	69.5032	69.5458
520	69.5032	69.5161
521	69.5032	69.5079
522	69.5032	69.5032
523	69.5032	69.5032
524	69.5032	69.5032
525	69.5032	69.5032
526	69.5032	69.5032
527	69.5032	69.5032
528	69.5032	69.5032
529	68.9353	69.4816
530	68.9353	69.3711
531	68.9353	69.2166
532	68.9353	69.0825
533	68.9353	68.9792
534	68.9353	68.9353
535	68.7266	68.9349
536	68.7266	68.9232
537	68.7266	68.8832
538	68.7266	68.8113
539	68.7266	68.7587
540	68.7266	68.7299
541	68.7266	68.7266
542	68.7266	68.7266
543	68.7266	68.7266
544	68.7266	68.7266
545	68.7266	68.7266
546	68.7266	68.7266
547	68.7266	68.7266
548	68.7266	68.7266
549	68.7266	68.7266
550	68.7266	68.7266
551	68.7266	68.7266
552	68.7266	68.7266
553	68.7266	68.7266
554	68.7266	68.7266
555	68.7266	68.7266
556	68.7266	68.7266
557	68.7266	68.7266
558	68.7266	68.7266
559	68.6756	68.7265
560	68.6756	68.7245
561	68.6756	68.7163
562	68.5042	68.7015
563	68.5042	68.6764
564	68.5042	68.6342
565	68.5042	68.58
566	68.5042	68.5365
567	68.5042	68.5171
568	68.5042	68.5042
569	68.5042	68.5042
570	68.5042	68.5042
571	68.5042	68.5042
572	68.5042	68.5042
573	68.5042	68.5042
574	68.5042	68.5042
575	68.5042	68.5042
576	68.5042	68.5042
577	68.5042	68.5042
578	68.5042	68.5042
579	68.5042	68.5042
580	68.5042	68.5042
581	68.5042	68.5042
582	68.5042	68.5042
583	68.5042	68.5042
584	68.5042	68.5042
585	68.5042	68.5042
586	68.5042	68.5042
587	68.5042	68.5042
588	68.5042	68.5042
589	68.5042	68.5042
590	68.5042	68.5042
591	68.5042	68.5042
592	68.5042	68.5042
593	68.5042	68.5042
594	68.5042	68.5042
595	68.5042	68.5042
596	68.5042	68.5042
597	68.5042	68.5042
598	68.5042	68.5042
599	68.5042	68.5042
600	68.5042	68.5042
601	68.5042	68.5042
602	68.5042	68.5042
603	68.5042	68.5042
604	68.5042	68.5042
605	68.5042	68.5042
606	68.5042	68.5042
607	68.5042	68.5042
608	68.5042	68.5042
609	68.5042	68.5042
610	68.5042	68.5042
611	68.5042	68.5042
612	68.5042	68.5042
613	68.5042	68.5042
614	68.5042	68.5042
615	68.5042	68.5042
616	68.5042	68.5042
617	68.5042	68.5042
618	68.5042	68.5042
619	68.5042	68.5042
620	68.5042	68.5042
621	68.5042	68.5042
622	68.5042	68.5042
623	68.5042	68.5042
624	68.5042	68.5042
625	68.5042	68.5042
626	68.5042	68.5042
627	68.5042	68.5042
628	68.5042	68.5042
629	68.5042	68.5042
630	68.5042	68.5042
631	68.5042	68.5042
632	68.5042	68.5042
633	68.5042	68.5042
634	68.5042	68.5042
635	68.5042	68.5042
636	68.5042	68.5042
637	68.5042	68.5042
638	68.5042	68.5042
639	68.5042	68.5042
640	68.5042	68.5042
641	68.5042	68.5042
642	68.5042	68.5042
643	68.5042	68.5042
644	68.5042	68.5042
645	68.5042	68.5042
646	68.5042	68.5042
647	68.5042	68.5042
648	68.5042	68.5042
649	68.5042	68.5042
650	68.5042	68.5042
651	68.5042	68.5042
652	68.5042	68.5042
653	68.5042	68.5042
654	68.5042	68.5042
655	68.5042	68.5042
656	68.5042	68.5042
657	68.5042	68.5042
658	68.5042	68.5042
659	68.5042	68.5042
660	68.5042	68.5042
661	68.5042	68.5042
662	68.5042	68.5042
663	68.5042	68.5042
664	68.5042	68.5042
665	68.5042	68.5042
666	68.5042	68.5042
667	68.5042	68.5042
668	68.5042	68.5042
669	68.5042	68.5042
670	68.5042	68.5042
671	68.5042	68.5042
672	68.5042	68.5042
673	68.5042	68.5042
674	68.5042	68.5042
675	68.5042	68.5042
676	68.5042	68.5042
677	68.5042	68.5042
678	68.5042	68.5042
679	68.5042	68.5042
680	68.5042	68.5042
