#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.59554    -5.59554           0
           2    -5.54862    -5.57208   0.0165903
           3    -5.53293    -5.55903   0.0153579
           4    -5.54799    -5.55627   0.0117639
           5    -5.55316    -5.55565  0.00942751
           6    -5.56175    -5.55667  0.00791091
           7    -5.54786    -5.55541  0.00688003
           8    -5.55789    -5.55572  0.00602705
           9    -5.56702    -5.55697  0.00548659
          10    -5.56422     -5.5577   0.0049855
          11    -5.54238    -5.55631  0.00472272
          12    -5.55264      -5.556  0.00433904
          13    -5.53281    -5.55422  0.00435663
          14    -5.51632    -5.55151  0.00481352
          15    -5.55902    -5.55201   0.0045186
          16    -5.55553    -5.55223  0.00424154
          17    -5.53049    -5.55095  0.00418043
          18    -5.54172    -5.55044   0.0039795
          19    -5.53412    -5.54958  0.00386161
          20    -5.55455    -5.54983  0.00367653
