#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     -1.1269     -1.1269           0
           2   -0.710497   -0.918697     0.14722
           3    -0.72746   -0.854951    0.111093
           4   -0.808128   -0.843245   0.0839345
           5   -0.688732   -0.812343   0.0726139
           6   -0.802023   -0.810623   0.0605319
           7   -0.781448   -0.806455   0.0520278
           8   -0.850165   -0.811919   0.0458103
           9   -0.822001   -0.813039    0.040734
          10   -0.882228   -0.819958   0.0372436
          11   -0.653945   -0.804866   0.0367888
          12   -0.619289   -0.789401   0.0368303
          13    -0.64255   -0.778105   0.0356875
          14   -0.582955   -0.764165   0.0357572
          15   -0.750099   -0.763228   0.0333857
          16   -0.788187   -0.764788   0.0313355
          17   -0.615681   -0.756017   0.0306952
          18   -0.638156   -0.749469   0.0296801
          19   -0.700985   -0.746917   0.0282275
          20   -0.810577     -0.7501    0.026995
