#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.594726    0.594726           0
           2     0.56426    0.579493   0.0107714
           3    0.553957    0.570981  0.00999343
           4    0.563923    0.569217  0.00764929
           5    0.568166    0.569006  0.00612232
           6    0.573383    0.569736   0.0051452
           7    0.564123    0.568934  0.00447221
           8    0.571114    0.569207  0.00392148
           9    0.576917    0.570063  0.00357811
          10    0.573986    0.570455  0.00324173
          11    0.560986    0.569595  0.00305919
          12    0.568701     0.56952  0.00280516
          13    0.555789    0.568464  0.00278115
          14    0.544749     0.56677  0.00305509
          15     0.57185    0.567109  0.00287013
          16    0.568577      0.5672  0.00269221
          17    0.554372    0.566446  0.00263749
          18    0.562548    0.566229  0.00249983
          19    0.554943    0.565635  0.00243781
          20    0.568277    0.565767   0.0023195
