#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.80293     2.80293           0
           2     2.22512     2.51402    0.204286
           3     2.10669     2.37825    0.175608
           4     2.02842     2.29079    0.151931
           5     2.04804     2.24224    0.129069
           6     1.99969     2.20181    0.113712
           7     2.00577     2.17381    0.100857
           8     1.97296      2.1487   0.0913211
           9     1.99853     2.13202   0.0826847
          10       2.031     2.12192   0.0750308
          11     2.00994     2.11174   0.0688968
          12      1.9895     2.10155    0.063904
          13     2.04886      2.0975   0.0591167
          14     1.97275     2.08859   0.0555615
          15     1.90343     2.07624   0.0532109
          16     1.97795      2.0701   0.0502386
          17     1.94677     2.06284   0.0478043
          18     1.98734     2.05865   0.0453322
          19     1.98284     2.05466   0.0431215
          20     2.01436     2.05265   0.0410125
          21     1.99992     2.05013   0.0391363
          22     2.00674     2.04816   0.0374071
          23     1.95959     2.04431   0.0359784
          24      2.0039     2.04263   0.0345186
          25     2.00728     2.04121   0.0331668
          26     2.00704      2.0399   0.0319172
          27     2.04078     2.03993   0.0307351
          28     1.91266     2.03539   0.0299717
          29      1.9326     2.03184    0.029147
          30     2.00336     2.03089   0.0281909
