#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59372     1.59372           0
           2     1.59693     1.59532   0.0011324
           3      1.5973     1.59598 0.000926732
           4     1.59728     1.59631 0.000749966
           5     1.59732     1.59651 0.000626973
           6     1.59725     1.59663 0.000534499
           7     1.59735     1.59674 0.000467814
           8     1.59729     1.59681 0.000414445
           9     1.59714     1.59684 0.000370024
          10     1.59708     1.59687 0.000333802
          11     1.59713     1.59689 0.000304341
          12     1.59723     1.59692 0.000280258
          13     1.59721     1.59694 0.000259608
          14     1.59729     1.59697 0.000242231
          15     1.59737     1.59699 0.000227598
          16     1.59734     1.59701 0.000214387
          17     1.59725     1.59703 0.000202203
          18     1.59704     1.59703 0.000190971
          19     1.59733     1.59704 0.000181564
          20     1.59727     1.59706 0.000172832
          21     1.59727     1.59707 0.000164897
          22     1.59734     1.59708 0.000157874
          23     1.59733     1.59709 0.000151393
          24     1.59722      1.5971 0.000145189
          25     1.59742     1.59711  0.00013996
          26     1.59722     1.59711 0.000134637
          27     1.59705     1.59711 0.000129672
          28     1.59736     1.59712 0.000125354
          29     1.59723     1.59712 0.000121092
          30     1.59731     1.59713 0.000117224
