#   N_BLOCK:  ACCEPTANCE:
           1     2.4e-05
           2    0.000169
           3 0.000138667
           4   0.0001045
           5     8.4e-05
           6 7.03333e-05
           7 6.02857e-05
           8     5.4e-05
           9 5.11111e-05
          10     4.6e-05
          11     4.2e-05
          12 3.86667e-05
          13 3.56923e-05
          14 3.31429e-05
          15 3.74667e-05
          16     3.6e-05
          17 4.69412e-05
          18 4.43333e-05
          19 4.22105e-05
          20    4.01e-05
