#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1            0.999978            0.999978                   0
                   2            0.997598            0.998788         0.000841457
                   3            0.999854            0.999143         0.000631556
                   4                   1            0.999358         0.000508686
                   5                   1            0.999486         0.000422868
                   6                   1            0.999572         0.000360963
                   7                   1            0.999633          0.00031454
                   8            0.999986            0.999677         0.000278303
                   9            0.999974             0.99971         0.000249329
                  10                   1            0.999739         0.000226077
                  11                   1            0.999763         0.000206766
                  12                   1            0.999782         0.000190478
                  13                   1            0.999799         0.000176559
                  14                   1            0.999814         0.000164529
                  15            0.999666            0.999804         0.000153855
                  16            0.999984            0.999815         0.000144651
                  17            0.999162            0.999777          0.00014115
                  18                   1            0.999789         0.000133853
                  19            0.999998              0.9998         0.000127259
                  20                   1             0.99981         0.000121288
