#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1            0.994104            0.994104                   0
                   2            0.993678            0.993891         0.000150614
                   3             0.99029            0.992691         0.000985198
                   4            0.993488             0.99289         0.000758796
                   5             0.99391            0.993094         0.000633866
                   6            0.992462            0.992989         0.000536903
                   7            0.980078            0.991144          0.00176849
                   8            0.990992            0.991125          0.00154753
                   9            0.995198            0.991578          0.00144023
                  10            0.996392            0.992059          0.00137432
                  11            0.998626            0.992656          0.00137293
                  12            0.993284            0.992708          0.00125951
                  13            0.997626            0.993087          0.00121811
                  14            0.996338            0.993319          0.00115302
                  15            0.998632            0.993673          0.00112925
                  16             0.90208            0.987949          0.00564299
                  17            0.896394            0.982563           0.0074502
                  18            0.995956            0.983307          0.00707336
                  19            0.984314             0.98336          0.00670127
                  20             0.99901            0.984143          0.00641173
