#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.961679           -0.961679                   0
                   2           -0.952029           -0.956854          0.00341154
                   3           -0.958493             -0.9574          0.00231771
                   4           -0.958047           -0.957562          0.00174391
                   5           -0.960903            -0.95823          0.00151776
                   6            -0.96791           -0.959844          0.00194131
                   7           -0.961852            -0.96013          0.00168504
                   8           -0.964019           -0.960617          0.00154292
                   9           -0.970926           -0.961762          0.00174568
                  10           -0.970265           -0.962612          0.00176607
                  11           -0.962154           -0.962571          0.00160601
                  12           -0.962293           -0.962547          0.00147235
                  13           -0.959078           -0.962281          0.00138306
                  14           -0.956827           -0.961891            0.001338
                  15           -0.960133           -0.961774          0.00125392
                  16           -0.958532           -0.961571          0.00119181
                  17           -0.964284           -0.961731          0.00113234
                  18           -0.960168           -0.961644          0.00107275
                  19           -0.972752           -0.962229          0.00116477
                  20           -0.964636           -0.962349          0.00111273
