#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     18.6462     18.6462           0
           2     17.7818      18.214    0.305629
           3      18.673      18.367    0.238991
           4     18.8075     18.4771    0.203033
           5     19.4627     18.6742    0.239723
           6     20.4114     18.9638    0.331302
           7     18.4617      18.892    0.291633
           8      16.486     18.5913    0.379819
           9     19.1311     18.6513     0.34232
          10     18.0428     18.5904    0.313449
          11      18.236     18.5582    0.286604
          12     18.2445     18.5321     0.26391
          13     18.4494     18.5257    0.243686
          14     18.4755     18.5221    0.226306
          15     18.6766     18.5324    0.211453
          16       20.28     18.6417    0.224683
          17     18.0325     18.6058    0.214305
          18     19.7194     18.6677     0.21114
          19     20.2918     18.7532     0.21664
          20     19.1611     18.7736    0.206766
