#   N_BLOCK:  ACCEPTANCE:
           1    0.187795
           2    0.186615
           3    0.187033
           4    0.186592
           5    0.186342
           6    0.186153
           7     0.18616
           8     0.18667
           9    0.186582
          10    0.186347
          11    0.186464
          12    0.186341
          13    0.186412
          14    0.186467
          15    0.186623
          16    0.186532
          17    0.186709
          18    0.186715
          19    0.186758
          20    0.186725
