#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.271758    0.271758           0
           2    0.271031    0.271395 0.000256998
           3    0.276724    0.273171  0.00146037
           4    0.274818    0.273583  0.00115185
           5    0.275513    0.273969 0.000984054
           6    0.272536     0.27373 0.000848525
           7    0.268422    0.272972  0.00101083
           8    0.275072    0.273234 0.000917947
           9    0.276999    0.273653 0.000906259
          10    0.270838    0.273371 0.000858225
          11    0.272203    0.273265 0.000786752
          12    0.275723     0.27347  0.00074738
          13    0.279141    0.273906 0.000807222
          14     0.27464    0.273959 0.000751261
          15    0.271424     0.27379 0.000719932
          16    0.278784    0.274102 0.000739513
          17    0.268645    0.273781 0.000762501
          18    0.269732    0.273556 0.000752588
          19    0.273331    0.273544 0.000713071
          20    0.275205    0.273627 0.000682236
