#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                   1            -5.45389            -5.45389                   0
                   2            -5.46978            -5.46184           0.0056174
                   3            -5.46412             -5.4626          0.00379622
                   4            -5.47983            -5.46691          0.00469382
                   5            -5.46151            -5.46583          0.00387707
                   6            -5.47319            -5.46705          0.00341932
                   7            -5.45925            -5.46594          0.00310707
                   8            -5.47493            -5.46706          0.00291504
                   9            -5.46391            -5.46671          0.00261208
                  10            -5.45664            -5.46571          0.00253777
                  11            -5.49386            -5.46827          0.00335807
                  12            -5.46148             -5.4677          0.00312553
                  13            -5.45558            -5.46677          0.00302091
                  14            -5.47037            -5.46703          0.00281606
                  15            -5.46244            -5.46672          0.00264486
                  16            -5.46491            -5.46661          0.00248196
                  17            -5.46987             -5.4668          0.00234337
                  18            -5.45354            -5.46606           0.0023261
                  19            -5.45091            -5.46526          0.00233642
                  20            -5.45838            -5.46492          0.00224485
                  21            -5.44612            -5.46402          0.00230952
                  22            -5.46242            -5.46395           0.0022057
                  23            -5.45384            -5.46351          0.00215321
                  24            -5.44017            -5.46254          0.00227251
                  25            -5.46454            -5.46262          0.00218301
                  26            -5.46135            -5.46257           0.0020996
                  27            -5.45816            -5.46241          0.00202819
                  28            -5.43627            -5.46147          0.00215997
                  29            -5.46243            -5.46151          0.00208574
                  30            -5.45645            -5.46134          0.00202301
                  31             -5.4747            -5.46177          0.00200317
                  32            -5.47305            -5.46212          0.00197137
                  33            -5.45555            -5.46192          0.00192165
                  34            -5.48594            -5.46263          0.00199069
                  35            -5.45529            -5.46242          0.00194484
                  36            -5.46793            -5.46257          0.00189682
                  37            -5.46353             -5.4626          0.00184573
                  38            -5.46594            -5.46269          0.00179926
                  39            -5.45538             -5.4625          0.00176284
                  40            -5.46077            -5.46246           0.0017193
                  41            -5.46116            -5.46242          0.00167765
                  42            -5.49857            -5.46328          0.00184526
                  43            -5.45894            -5.46318          0.00180511
                  44            -5.46981            -5.46333          0.00177036
                  45            -5.45442            -5.46314          0.00174206
                  46            -5.45619            -5.46299          0.00171072
                  47            -5.47138            -5.46316          0.00168362
                  48            -5.45929            -5.46308          0.00165048
                  49            -5.45989            -5.46302          0.00161808
                  50            -5.44797            -5.46272          0.00161345
