#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                   1              1.4328              1.4328                   0
                   2             1.36022             1.39651            0.025661
                   3             1.41719              1.4034           0.0180095
                   4             1.30063             1.37771           0.0260295
                   5             1.43521             1.38921           0.0232254
                   6             1.32127             1.37789           0.0219416
                   7             1.44211             1.38706           0.0206365
                   8             1.35753             1.38337           0.0183842
                   9             1.39006             1.38411           0.0163565
                  10             1.42743             1.38844           0.0152838
                  11             1.24785             1.37566           0.0184813
                  12             1.40249              1.3779           0.0170759
                  13             1.47257             1.38518           0.0172455
                  14             1.35163             1.38279           0.0161794
                  15             1.42139             1.38536            0.015304
                  16             1.37964               1.385           0.0143517
                  17             1.35118             1.38301           0.0136447
                  18              1.4816             1.38849           0.0139427
                  19              1.4816             1.39339           0.0140437
                  20             1.41669             1.39455           0.0133898
                  21             1.48433             1.39883           0.0134173
                  22             1.40855             1.39927           0.0128147
                  23              1.4446             1.40124           0.0124082
                  24             1.48558             1.40476           0.0123788
                  25             1.37804             1.40369           0.0119296
                  26             1.41466             1.40411           0.0114783
                  27             1.41017             1.40433           0.0110553
                  28             1.52862             1.40877           0.0115171
                  29             1.39633             1.40834            0.011128
                  30             1.45245             1.40981           0.0108537
                  31             1.32838             1.40719           0.0108168
                  32             1.33642             1.40498           0.0107025
                  33             1.42587             1.40561           0.0103968
                  34             1.29096             1.40224           0.0106238
                  35             1.44617             1.40349           0.0103942
                  36             1.40038             1.40341           0.0101058
                  37             1.36967             1.40249          0.00987371
                  38             1.40872             1.40266          0.00961523
                  39             1.47672             1.40456          0.00955438
                  40             1.43914             1.40542          0.00935455
                  41             1.38563             1.40494          0.00913884
                  42             1.20889             1.40027           0.0100428
                  43             1.38926             1.40001          0.00981254
                  44              1.3564             1.39902          0.00963946
                  45             1.42908             1.39969          0.00944837
                  46             1.42505             1.40024          0.00925904
                  47             1.33276             1.39881           0.0091727
                  48             1.45889             1.40006          0.00906661
                  49             1.42323             1.40053          0.00889389
                  50             1.48971             1.40232          0.00889307
