#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                   1            -5.47874            -5.47874                   0
                   2            -5.47311            -5.47592          0.00198944
                   3             -5.4828            -5.47821          0.00229273
                   4            -5.43267            -5.46683           0.0100093
                   5             -5.4731            -5.46808          0.00808557
                   6            -5.46895            -5.46823          0.00673928
                   7            -5.47978            -5.46988          0.00597533
                   8            -5.47917            -5.47104          0.00534006
                   9            -5.44818             -5.4685          0.00531663
                  10            -5.44786            -5.46644          0.00517016
                  11             -5.4747            -5.46719           0.0047544
                  12            -5.46832            -5.46728          0.00435914
                  13            -5.45932            -5.46667          0.00406666
                  14            -5.46749            -5.46673           0.0037766
                  15            -5.45005            -5.46562          0.00368487
                  16            -5.45341            -5.46485          0.00353264
                  17            -5.45746            -5.46442          0.00335149
                  18            -5.47255            -5.46487          0.00319562
                  19            -5.46845            -5.46506          0.00303296
                  20            -5.45739            -5.46467          0.00290547
                  21            -5.47844            -5.46533          0.00284006
                  22            -5.46333            -5.46524          0.00271242
                  23            -5.45302            -5.46471          0.00264604
                  24            -5.45561            -5.46433           0.0025628
                  25            -5.43189            -5.46303          0.00276937
                  26            -5.47374            -5.46344           0.0026933
                  27            -5.47309             -5.4638          0.00261716
                  28            -5.48116            -5.46442          0.00259609
                  29            -5.46174            -5.46433          0.00250821
                  30            -5.44901            -5.46382          0.00247605
                  31            -5.47412            -5.46415          0.00241839
                  32            -5.45671            -5.46392          0.00235396
                  33            -5.46661              -5.464          0.00228404
                  34            -5.44626            -5.46348          0.00227565
                  35            -5.44719            -5.46301          0.00225769
                  36            -5.45001            -5.46265          0.00222366
                  37            -5.48064            -5.46314          0.00221608
                  38            -5.47216            -5.46337          0.00217046
                  39            -5.45582            -5.46318          0.00212343
                  40            -5.47683            -5.46352          0.00209758
                  41            -5.44524            -5.46308           0.0020933
                  42            -5.44795            -5.46272          0.00207421
                  43            -5.47175            -5.46293           0.0020366
                  44            -5.45139            -5.46266          0.00200711
                  45            -5.45798            -5.46256          0.00196521
                  46            -5.48328            -5.46301          0.00197345
                  47            -5.44292            -5.46258          0.00197719
                  48            -5.50199             -5.4634          0.00209952
                  49            -5.47184            -5.46358          0.00206373
                  50            -5.46315            -5.46357          0.00202247
