#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                   1             1.35954             1.35954                   0
                   2             1.39212             1.37583           0.0115217
                   3             1.39962             1.38376           0.0100462
                   4             1.53567             1.42174            0.033741
                   5             1.37712             1.41281           0.0281482
                   6             1.35445             1.40309           0.0250812
                   7              1.3602             1.39696           0.0222338
                   8             1.31553             1.38678           0.0216597
                   9             1.50845              1.4003           0.0230894
                  10              1.4741             1.40768           0.0219282
                  11             1.39579              1.4066           0.0199614
                  12             1.37954             1.40434           0.0184249
                  13             1.48539             1.41058           0.0180315
                  14             1.45408             1.41368           0.0170092
                  15             1.54339             1.42233           0.0179389
                  16             1.51136              1.4279           0.0176597
                  17              1.4649             1.43007           0.0167545
                  18             1.41313             1.42913           0.0158501
                  19             1.42539             1.42893           0.0150171
                  20             1.42931             1.42895           0.0142663
                  21              1.3302             1.42425           0.0143411
                  22             1.45725             1.42575           0.0137674
                  23             1.56038              1.4316           0.0143594
                  24             1.41565             1.43094           0.0137765
                  25             1.56556             1.43632            0.014239
                  26             1.38807             1.43447           0.0138117
                  27              1.3577             1.43162           0.0135897
                  28             1.40718             1.43075           0.0131324
                  29             1.41354             1.43016           0.0126929
                  30             1.59299             1.43559           0.0133801
                  31             1.42873             1.43536           0.0129503
                  32             1.38537              1.4338           0.0126395
                  33             1.32816              1.4306           0.0126554
                  34             1.54701             1.43402           0.0127378
                  35             1.50662              1.4361           0.0125416
                  36              1.4883             1.43755           0.0122768
                  37             1.33774             1.43485           0.0122377
                  38             1.40696             1.43412           0.0119377
                  39               1.561             1.43737           0.0120668
                  40              1.3781             1.43589           0.0118557
                  41             1.53156             1.43822            0.011794
                  42             1.49241             1.43951           0.0115835
                  43             1.45176              1.4398           0.0113176
                  44              1.4634             1.44033           0.0110731
                  45             1.44447             1.44043           0.0108274
                  46              1.3389             1.43822           0.0108147
                  47             1.47375             1.43897           0.0106109
                  48             1.21199             1.43425            0.011395
                  49             1.43105             1.43418           0.0111627
                  50             1.46295             1.43476           0.0109542
