# GEN: 	 LUNGHEZZA DEL MIGLIORE: 	 LUNGHEZZA MEDIA:
1	449.83	506.013
2	421.752	487.063
3	396.184	468.69
4	379.031	452.826
5	365.009	435.861
6	359.399	419.449
7	351.816	404.289
8	332.629	391.761
9	328.079	379.932
10	328.079	370.57
11	323.896	363.709
12	309.199	359.189
13	307.74	353.756
14	303.774	346.931
15	299.356	340.257
16	296.384	333.022
17	289.903	324.016
18	288.966	315.811
19	279.55	309.706
20	270.906	304.201
21	262.773	298.422
22	256.413	292.743
23	252.954	285.164
24	246.959	277.873
25	238.219	271.631
26	236.169	265.211
27	234.43	258.269
28	231.349	251.582
29	226.007	245.929
30	223.96	240.842
31	216.812	236.954
32	210.792	233.421
33	207.764	229.378
34	203.818	225.268
35	200.791	220.525
36	199.673	216.019
37	195.483	211.743
38	191.509	208.199
39	186.945	204.423
40	185.083	200.469
41	181.727	197.02
42	181.441	193.442
43	176.745	190.178
44	175.634	187.348
45	169.412	185.038
46	166.998	182.529
47	166.463	179.654
48	165.709	176.288
49	163.549	172.936
50	162.752	170.089
51	161.804	168.012
52	159.157	166.257
53	156.572	164.818
54	156.139	163.548
55	154.84	162.124
56	153.208	160.821
57	151.848	159.842
58	150.351	158.938
59	149.261	157.941
60	147.311	156.792
61	146.333	155.337
62	142.525	153.771
63	142.274	152.476
64	139.924	151.105
65	138.844	149.891
66	138.362	148.561
67	136.882	146.545
68	135.604	144.5
69	133.982	142.66
70	132.479	141.101
71	130.918	139.444
72	130.67	137.737
73	129.048	136.128
74	125.506	134.783
75	125.088	133.317
76	123.992	131.964
77	123.992	130.271
78	122.876	128.444
79	122.473	127.173
80	122.218	125.978
81	121.177	125.091
82	120.365	124.3
83	119.162	123.658
84	118.801	122.841
85	116.765	121.941
86	116.537	120.901
87	115.658	119.848
88	114.878	119.053
89	114.162	118.184
90	113.737	117.442
91	111.829	116.767
92	110.908	116.087
93	110.908	115.344
94	109.894	114.485
95	109.012	113.346
96	109.012	112.043
97	108.002	111.047
98	107.576	110.204
99	107.072	109.637
100	106.892	109.126
101	106.541	108.682
102	105.681	108.34
103	104.964	108.059
104	104.177	107.647
105	103.459	107.076
106	102.803	106.081
107	102.272	105.201
108	101.853	104.341
109	100.496	103.624
110	100.078	102.998
111	100.078	102.356
112	99.3129	101.698
113	99.2233	101.028
114	98.3846	100.646
115	98.2451	100.472
116	98.0551	100.755
117	97.8547	101.754
118	97.7149	102.802
119	96.5597	103.489
120	96.0228	103.395
121	95.8204	102.565
122	95.2835	100.942
123	95.1998	99.3339
124	94.9367	98.002
125	93.9094	96.9938
126	93.6252	96.1717
127	93.1197	95.522
128	93.0549	94.9248
129	92.3521	94.3891
130	92.0242	94.0149
131	91.2234	93.7977
132	90.6968	93.5723
133	90.0161	93.0824
134	90.0161	92.4466
135	89.7108	91.8443
136	89.1617	91.5115
137	88.8564	91.514
138	88.5009	91.8064
139	88.3295	92.096
140	88.1956	91.7122
141	87.683	90.8852
142	87.3777	90.058
143	87.1853	89.3689
144	86.8286	88.8431
145	86.5233	88.6962
146	85.9963	88.4999
147	85.8156	88.341
148	85.48	87.7888
149	85.0948	87.0684
150	84.8701	86.7114
151	84.7968	86.373
152	84.6322	86.0691
153	84.0156	85.7941
154	84.0156	85.5123
155	83.3633	85.3019
156	83.3633	85.2081
157	83.1254	85.121
158	83.1254	84.9707
159	82.7471	84.9504
160	82.7471	85.01
161	82.1339	85.1603
162	82.1339	85.1239
163	82.0817	85.0384
164	81.9102	84.8321
165	81.9102	84.5621
