# GEN: 	 LUNGHEZZA DEL MIGLIORE: 	 LUNGHEZZA MEDIA:
1	37.962	39.4069
2	36.0245	38.048
3	34.7534	37.4626
4	34.5768	36.3541
5	32.8529	35.5218
6	32.5707	34.5767
7	32.1026	33.6618
8	30.9489	32.9211
9	30.5829	32.3011
10	29.5437	31.6285
11	28.7661	31.4035
12	28.6076	31.0124
13	27.2932	30.3741
14	25.8224	29.8894
15	24.1469	29.0603
16	24.1469	28.193
17	23.7709	26.0685
18	23.7709	25.2542
19	23.7709	23.9933
20	23.7709	24.2863
21	22.8955	23.8749
22	22.8955	23.6399
23	22.8955	23.4486
24	22.2786	23.6393
25	22.2786	23.3582
26	22.0762	23.1723
27	21.4171	22.7288
28	21.4171	22.6572
29	21.4171	22.2861
30	21.4171	22.0579
31	21.397	21.765
32	21.397	21.5611
33	21.0475	21.4057
34	19.5021	21.2041
35	19.5021	20.7478
36	19.0898	20.1021
37	18.4586	20.1898
38	18.4586	20.2957
39	18.4586	20.3637
40	18.4586	20.4642
41	18.4586	19.9753
42	18.4586	19.3962
43	17.6107	18.6884
44	17.6107	18.6267
45	16.4121	18.1227
46	16.4116	18.2447
47	16.4116	17.3851
48	16.0917	17.0324
49	16.0917	16.7732
50	16.0917	16.5725
51	15.9386	16.6682
52	15.9386	16.4072
53	14.7076	15.991
54	14.7076	15.7011
55	14.7076	15.3916
56	14.7076	15.0037
57	14.7076	14.7076
58	14.1185	14.6016
59	14.1185	14.5661
60	14.1185	14.7149
61	14.1185	14.3959
62	13.6047	14.232
63	13.6047	13.8513
64	13.487	13.7654
65	13.487	13.6024
66	13.6047	13.6047
67	13.5145	13.5903
68	13.5145	13.547
69	13.5145	13.5217
70	13.4109	13.498
71	13.4109	13.4683
72	13.4109	13.4495
73	13.4109	13.4364
74	13.4109	13.4267
75	13.4109	13.4849
76	13.3943	13.419
77	13.3943	13.4086
78	13.3943	13.4046
79	13.3943	13.3943
80	13.3562	13.3935
81	12.8824	13.3412
82	12.7242	13.2347
83	12.7242	13.2302
84	12.7242	13.1823
85	12.7242	13.1078
86	12.6687	12.7453
87	12.6419	12.8026
88	12.5328	12.7769
89	12.5328	12.6922
90	12.5328	12.7207
91	12.5328	12.6454
92	12.5328	12.5631
93	12.478	12.5385
94	12.478	12.5251
95	12.478	12.5153
96	12.478	12.5021
97	12.478	12.4857
98	12.478	12.4944
99	12.4349	12.4998
100	11.6145	12.4666
101	11.0757	12.7369
102	10.0919	12.8518
103	10.0919	12.4623
104	10.0919	11.6704
