# GEN: 	 LUNGHEZZA DEL MIGLIORE: 	 LUNGHEZZA MEDIA:
1	3796.2	4014.65
2	3608.79	3982.14
3	3608.79	3985.5
4	3608.79	3976.6
5	3608.79	3973.85
6	3690.21	3970.25
7	3690.21	3967.16
8	3469.51	3956.36
9	3469.51	3941.62
10	3469.51	3940.18
11	3469.51	3930.65
12	3372.63	3936.42
13	3372.63	3925.29
14	3372.63	3921.39
15	3372.63	3947.19
16	3372.63	3948.36
17	3372.63	3934.91
18	3372.63	3923.67
19	3372.63	3925.08
20	3372.63	3932.4
21	3372.63	3935.62
22	3372.63	3939.58
23	3372.63	3941.7
24	3250.49	3939.16
25	3250.49	3940.97
26	3358.08	3944.91
27	3358.08	3944.15
28	3358.08	3940.73
29	3358.08	3931.43
30	3358.08	3930.02
31	3358.08	3926.61
32	3358.08	3942.79
33	3358.08	3937.86
34	3358.08	3942.12
35	3358.08	3943.71
36	3365.92	3952.78
37	3365.92	3957.94
38	3365.92	3947.93
39	3365.92	3948.31
40	3365.92	3963.36
41	3435.12	3967.08
42	3435.12	3977.91
43	3480.8	3976.46
44	3480.8	3977.03
45	3436.91	3989.22
46	3436.91	3993.11
47	3391.7	4000
48	3391.7	3987.75
49	3475.35	3998.45
50	3475.35	3992.59
51	3475.35	3994.92
52	3335.04	4000
53	3335.04	4000.67
54	3335.04	3996.14
55	3335.04	3983.95
56	3335.04	3988.49
57	3335.04	3999.66
58	3335.04	4010
59	3335.04	4003.43
60	3487.57	3999.62
61	3487.57	4003.21
62	3487.57	4009.81
63	3487.57	4001.57
64	3487.57	4003.52
65	3447.87	4000.15
66	3360.8	3983.2
67	3360.8	3976.24
68	3360.8	3975.92
69	3360.8	3982.91
70	3360.8	3986.87
71	3360.8	4006.96
72	3360.8	4010.68
73	3360.8	3989.75
74	3360.8	3975.97
75	3360.8	3991.97
76	3360.8	3997.05
77	3360.8	4014.7
78	3360.8	4016.96
79	3360.8	4023.27
80	3360.8	4016.48
81	3555.09	4035.42
82	3555.09	4033.06
