# GEN: 	 LUNGHEZZA DEL MIGLIORE: 	 LUNGHEZZA MEDIA:
1	33.1377	38.1034
2	31.906	36.6798
3	31.4874	35.1051
4	30.1589	33.666
5	29.637	32.7303
6	28.865	31.6215
7	27.671	30.6016
8	26.7244	29.8422
9	26.3335	28.7294
10	25.3109	27.9007
11	24.1584	26.9923
12	23.7531	26.2342
13	23.5972	25.7524
14	21.9986	24.9883
15	21.7549	24.2596
16	20.5255	23.8022
17	20.1697	22.5942
18	19.7288	21.827
19	19.5522	21.0841
20	19.0941	20.5658
21	19.0897	20.0654
22	19.0897	19.9834
23	19.0022	19.6523
24	18.3086	19.5424
25	18.1586	19.2416
26	17.4318	19.0365
27	16.0264	18.4481
28	16.0264	17.8434
29	15.8671	17.4628
30	15.8671	16.9379
31	15.8457	16.3586
32	15.7225	16.127
33	15.677	16.0283
34	15.677	15.9202
35	15.6217	15.9212
36	15.6217	15.864
37	15.6217	15.6974
38	15.5777	15.6509
39	15.0576	15.6052
40	15.0023	15.527
41	14.812	15.5301
42	14.812	15.5211
43	14.5994	15.4095
44	14.5441	15.1181
45	14.5441	14.9918
46	14.5441	14.8123
47	14.5441	14.6609
48	14.0456	14.6373
49	14.0456	14.5933
50	14.0456	14.5212
51	13.8813	14.4162
52	13.8813	14.4722
53	13.8813	14.6007
54	13.3278	14.6425
55	13.591	14.4882
56	13.5585	14.3343
57	13.5817	14.1487
58	13.4517	14.0094
59	13.3088	13.9088
60	13.1711	13.8547
61	13.1711	13.7837
62	13.1617	13.9389
63	13.1617	13.5585
64	13.1617	13.3188
65	13.1617	13.2636
66	13.1617	13.1859
67	13.1617	13.1617
68	13.1617	13.1617
69	12.6772	13.0957
70	12.6772	13.0044
71	12.6772	12.8356
72	12.4804	12.7164
73	12.4804	12.6497
74	12.4804	12.5827
75	12.3123	12.5275
76	12.3123	12.4529
77	12.3123	12.3983
78	12.2683	12.3593
79	12.2805	12.3393
80	12.2805	12.3088
81	12.2805	12.306
